holiday,ds,lower_window,upper_window
Tahun Baru Masehi,2022-01-01,0,1
Tahun Baru Imlek 2573 Kongzili,2022-02-01,0,1
Isra Mikraj Nabi Muhammad SAW,2022-02-28,0,1
Hari Raya Nyepi,2022-03-03,0,1
Wafat Isa Al Masih,2022-04-15,0,1
Hari Buruh Internasional,2022-05-01,0,1
Hari Raya Idul Fitri 1443 Hijriyah,2022-05-02,0,1
Hari Raya Idul Fitri 1443 Hijriyah,2022-05-03,0,1
Hari Raya Waisak 2566,2022-05-16,0,1
Kenaikan Isa Al Masih,2022-05-26,0,1
Hari Lahirnya Pancasila,2022-06-01,0,1
Hari Raya Idul Adha 1443 Hijriyah,2022-07-09,0,1
Tahun Baru Islam 1444 Hijriyah,2022-07-30,0,1
Hari Proklamasi Kemerdekaan RI,2022-08-17,0,1
Maulid Nabi Muhammad SAW,2022-10-08,0,1
Hari Raya Natal,2022-12-25,0,1
Tahun Baru Masehi,2023-01-01,0,1
Tahun Baru Imlek 2574 Kongzili,2023-01-22,0,1
Isra Mikraj Nabi Muhammad SAW,2023-02-18,0,1
Hari Raya Nyepi,2023-03-22,0,1
Wafat Isa Al Masih,2023-04-07,0,1
Hari Raya Idul Fitri 1444 Hijriyah,2023-04-22,0,1
Hari Raya Idul Fitri 1444 Hijriyah,2023-04-23,0,1
Hari Buruh Internasional,2023-05-01,0,1
Kenaikan Isa Al Masih,2023-05-18,0,1
Hari Lahirnya Pancasila,2023-06-01,0,1
Hari Raya Waisak 2567,2023-06-04,0,1
Hari Raya Idul Adha 1444 Hijriyah,2023-06-29,0,1
Tahun Baru Islam 1445 Hijriyah,2023-07-19,0,1
Hari Proklamasi Kemerdekaan RI,2023-08-17,0,1
Maulid Nabi Muhammad SAW,2023-09-28,0,1
Hari Raya Natal,2023-12-25,0,1
Tahun Baru Masehi,2024-01-01,0,1
Isra Mikraj Nabi Muhammad SAW,2024-02-08,0,1
Tahun Baru Imlek 2575 Kongzili,2024-02-10,0,1
Hari Raya Nyepi,2024-03-11,0,1
Wafat Isa Al Masih,2024-03-29,0,1
Hari Raya Idul Fitri 1445 Hijriyah,2024-04-10,0,1
Hari Raya Idul Fitri 1445 Hijriyah,2024-04-11,0,1
Hari Buruh Internasional,2024-05-01,0,1
Kenaikan Isa Al Masih,2024-05-09,0,1
Hari Raya Waisak 2568,2024-05-23,0,1
Hari Lahirnya Pancasila,2024-06-01,0,1
Hari Raya Idul Adha 1445 Hijriyah,2024-06-17,0,1
Tahun Baru Islam 1446 Hijriyah,2024-07-07,0,1
Hari Proklamasi Kemerdekaan RI,2024-08-17,0,1
Maulid Nabi Muhammad SAW,2024-09-15,0,1
Hari Raya Natal,2024-12-25,0,1
Tahun Baru Masehi,2025-01-01,0,1
Isra Mikraj Nabi Muhammad SAW,2025-01-27,0,1
Tahun Baru Imlek 2576 Kongzili,2025-01-29,0,1
Hari Raya Nyepi,2025-03-29,0,1
Hari Raya Idul Fitri 1446 Hijriyah,2025-03-31,0,1
Hari Raya Idul Fitri 1446 Hijriyah,2025-04-01,0,1
Wafat Isa Al Masih,2025-04-18,0,1
Hari Buruh Internasional,2025-05-01,0,1
Hari Raya Waisak 2569,2025-05-12,0,1
Kenaikan Isa Al Masih,2025-05-29,0,1
Hari Lahirnya Pancasila,2025-06-01,0,1
Tahun Baru Islam 1447 Hijriyah,2025-06-27,0,1
Hari Proklamasi Kemerdekaan RI,2025-08-17,0,1
Maulid Nabi Muhammad SAW,2025-09-05,0,1
Hari Raya Natal,2025-12-25,0,1
Tahun Baru Masehi,2026-01-01,0,1
Isra Mikraj Nabi Muhammad SAW,2026-01-16,0,1
Tahun Baru Imlek 2577 Kongzili,2026-02-17,0,1
Hari Raya Nyepi,2026-03-19,0,1
Hari Raya Idul Fitri 1447 Hijriyah,2026-03-20,0,1
Hari Raya Idul Fitri 1447 Hijriyah,2026-03-21,0,1
Wafat Isa Al Masih,2026-04-03,0,1
Hari Buruh Internasional,2026-05-01,0,1
Kenaikan Isa Al Masih,2026-05-14,0,1
Hari Raya Idul Adha 1447 Hijriyah,2026-05-27,0,1
Hari Raya Waisak 2570,2026-05-31,0,1
Hari Lahirnya Pancasila,2026-06-01,0,1
Tahun Baru Islam 1448 Hijriyah,2026-06-16,0,1
Hari Proklamasi Kemerdekaan RI,2026-08-17,0,1
Maulid Nabi Muhammad SAW,2026-08-25,0,1
Hari Raya Natal,2026-12-25,0,1
